0,0,0,0H,2|2,2,2,2,2|2,2,2,2,2|0,0,0,0,0
0,0,0,0,2|2,2,2,2,2|0,0,0,0,2|0,0,0,0,0
0A,0,0,0,0|0,2,2,0,0|0,0,0,0,0|0,0,0,0,0
2,2,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
2,2,0,0,0|2,0,0,2,2|0,0,0,0,2|0,0,0,0,0
0,0,0,0,2|2,0,2,2,2|2,0,2,2,2|0,0,0,2,2
0,0,0,0,0|0,0,2,2,2|2,0,2,2,2|0,0,0,0,2
0,0,0,0,2|2,2,2,2,2|2,0,2,2,0|0,2,2,0,0
0,0,2,0,2|2,2,2,2,2|2,0D,0,0,0|0,0,0,0,0
0,0,0,0,0|2,2,2,2,2|2,2,2,2,2|0,0,0,0,2
2,2,0,0,0|2,2,2,2,2|2,2,2,2,2|0,0,0,0,0
2,2,0,0,0|0,0,0D,2,2|2,2,2,2,2|0,0,0,0,0
2,0,0,0,0|0,2,0,2,2|2,2,2,0,0|0,0,0,0,0
2,0,2,2,2|2,2,0,2,2|2,2,2,0,0|2,2,0,0,2
0,0,0,2,2|2,2,0,2,2|2,2,2,0,2|2,2,0,0,2
0,0,0,0,0|2,0,0,0,0|2,2,0,0,2|2,2,0,0,0A
0,0,0,0,0|2,0,0,0,0|2,0,0,0,0|2,0,0,0,0
0,0,0,0,0|0,0,0,0,0|0,0,2,2,0|0,0,0,0,0
0,0,0,0,0|0,0,0,0,0|2,2,2,2,2|2,0,0,0,0
0,0,0,0,0|2,0,0,0,0|2,2,2,2,2|2,0H,0,0,0
