2,2,2,2,2|2,0,0,0,2|2,2,0,0,2|0,0,0,0,0
2,2,2,2,2|2,0,0,0,2|2,2,0,0,0|0,0,0,0,0
2,2,2,2,2|2,0,2,0,0|0,2,0,0,0S|0,0,0,0,0
2,2,2,2,2|1,0,0,1,1|0,0,0,0A,1|0,0,0,0,0
2,1,1,2,2|1,1,0,1,1|0,0,0,0,1|0,0,0,0S,0
2,1,1,1,1|1,0,0,1,1|1,1,1,1,1|0,0,0,1,1
2,2,1,1,1|0,0,1,1,1|1,1,1,1,1|1,0S,0,1,1
2,2,2,1,1|0,0,0,1,1|1,1,1,1,1|0,0,0,0,0
2,2,2,2,1|0,0,0,1A,1|1,1,1,1,1|0,0S,0,0,0D
2,2,1,1,1|0,0,0S,1,1|1,1,2,2,2|1,1,0,0,0
2,1H,1,1,1|0,0,0,0,1|1,1,2,2,2|1,1,0,0,2
2,2,1,1,1|0S,0,0,0,0|1,2,2,2,2|1,1,1,0,0
2,2,1,0,0|0,0,0,0,0|1,1,1,1,1|1,1,0,0,0
2,1,1,0,2|0,0,0,0,0|1,1,1,1,1|1,1,0,2,2
2,1,0,0,2|0,0S,0,0,1|1,1,1,1,1|1,1,0,0,2
0,0S,0,0,0|1,1,1,1,1|1,0,0S,0,0|0,1,0,2,2
0,0,0,0,0S|1,1,1,1,1|0,0,0,0,2|0,0,0,2,2
0,0,0,0,0|0,1,1,0,0|0,2,2,0,0|0,2,2,2,2
0,0,0,0,0|0,0S,0,0,0|2,2,2,2,2|0,2,2,2,2
0,0,0,0,0|0,0,0,0,0|2,2,2,2,2|2,2,2,2,2
