0,0H,0,0,2|0D,0,0,0,0|2,0,0,0,2|0,0,0,0,0
0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
1,1,1,0S,0|1,1,1,1,1|0H,0,0,0,0|0,0,0,0,0
1,0,0,0,0|2,2,2,1,1|0,0,0,0,0|0,0,0,0,0
0,0,0,0,2|2,2,2,1,1|0S,0,0,0,0|2,0,0,2,2
0,0,0,1,2|2,2,1,1,1|0,0,0,0,0|0,0,2,2,2
0,0,0A,1,2|2,1,1,1,1|0,0,0,0,0|0,0,0,0,0
2,2,0,1,1|1,1,1,1,1|0,0,0H,1,1|0S,0,0,0,0
2,2,0,1,1|1,1,1,1,1|1,1,0,1,1|0,0,1,0,0
0,0,0,0,0|1,1,2,2,1|1,1,0,0,1|1,1,1,1,2
0,0,0,0,0|1,2,2,0,0|1A,1,1,0,0|1,1,1,1,2
0,0,0,0,0S|1,2,2,0,0|0,0,0,0,2|2,2,2,2,2
0,0,0,0,0|1,1,1,0S,0|0,2,2,2,2|2,2,2,2,2
0,0,0,0,1|1,1,0,0,0|2,2,2,2,2|2,2,2,2,2
0,0,0,0,0|0,0,0,2,2|2,2,2,2,2|2,2,2,2,2
0,0,0,0,0|0,2,2,2,2|2,2,2,2,2|2,2,2,2,2
0,0,0,0,0|0,2,2,2,2|2,2,2,2,2|2,2,2,2,2
0,0,0,0,0|2,2,2,2,2|2,2,2,2,2|2,2,2,2,2
0,0,0,0,0|2,2,2,2,2|2,2,2,2,2|2,2,2,2,2
